Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
grouping,Chrome 71.0.3578.98,,2018-12-17 11:17:18,2018-12-17 11:18:20,1m - 1.990s,PASSED
,,,,,,
Test Cases/Akshata/TC4 - grouping,Chrome 71.0.3578.98,,2018-12-17 11:17:19,2018-12-17 11:17:51,31.581s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 11:17:19,2018-12-17 11:17:19,0.150s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 11:17:19,2018-12-17 11:17:19,0.005s,PASSED
"title = callTestCase(findTestCase(""Akshata/TC5 - grouping""), [:], CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-17 11:17:20,2018-12-17 11:17:51,30.983s,PASSED
println(title),Chrome 71.0.3578.98,,2018-12-17 11:17:51,2018-12-17 11:17:51,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 11:17:51,2018-12-17 11:17:51,0.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 11:17:51,2018-12-17 11:17:51,0.008s,PASSED
,,,,,,
Test Cases/Akshata/TC5 - grouping,Chrome 71.0.3578.98,,2018-12-17 11:17:51,2018-12-17 11:18:19,28.144s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 11:17:51,2018-12-17 11:17:51,0.003s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 11:17:51,2018-12-17 11:17:51,0.003s,PASSED
"openBrowser(""https://www.google.co.in/"")",Chrome 71.0.3578.98,,2018-12-17 11:17:51,2018-12-17 11:18:19,28.075s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2018-12-17 11:18:19,2018-12-17 11:18:19,0.009s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 11:18:19,2018-12-17 11:18:19,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 11:18:19,2018-12-17 11:18:19,0.003s,PASSED
