Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite 2,Firefox 63.0,,2018-11-15 16:47:08,2018-11-15 16:48:37,1m - 28.779s,FAILED
,,,,,,
Test Cases/Mohit/Drag_Drop,Firefox 63.0,,2018-11-15 16:47:09,2018-11-15 16:48:01,51.212s,PASSED
"Statement - imgDir = com.kms.katalon.core.configuration.RunConfiguration.getProjectDir() + ""/img/""",Firefox 63.0,,2018-11-15 16:47:11,2018-11-15 16:47:11,0.004s,PASSED
Statement - java.lang.Thread.sleep(2000),Firefox 63.0,,2018-11-15 16:47:11,2018-11-15 16:47:13,2.057s,PASSED
openBrowser,Firefox 63.0,,2018-11-15 16:47:13,2018-11-15 16:47:44,31.498s,PASSED
maximizeWindow,Firefox 63.0,,2018-11-15 16:47:44,2018-11-15 16:47:44,0.109s,PASSED
Statement - java.lang.Thread.sleep(2000),Firefox 63.0,,2018-11-15 16:47:44,2018-11-15 16:47:46,2.001s,PASSED
Statement - screen = new org.sikuli.script.Screen(),Firefox 63.0,,2018-11-15 16:47:46,2018-11-15 16:47:50,4.059s,PASSED
Statement - one = new org.sikuli.script.Pattern((imgDir + one.png)),Firefox 63.0,,2018-11-15 16:47:50,2018-11-15 16:47:55,5.083s,PASSED
Statement - drop = new org.sikuli.script.Pattern((imgDir + drop.png)),Firefox 63.0,,2018-11-15 16:47:55,2018-11-15 16:47:55,0.023s,PASSED
Statement - java.lang.Thread.sleep(2000),Firefox 63.0,,2018-11-15 16:47:55,2018-11-15 16:47:57,2.005s,PASSED
"Statement - screen.dragDrop(one, drop)",Firefox 63.0,,2018-11-15 16:47:57,2018-11-15 16:48:01,3.224s,PASSED
,,,,,,
Test Cases/Mohit/File Upload_Sekuli,Firefox 63.0,,2018-11-15 16:48:01,2018-11-15 16:48:18,17.150s,FAILED
"Statement - imgDir = com.kms.katalon.core.configuration.RunConfiguration.getProjectDir() + ""/img/""",Firefox 63.0,,2018-11-15 16:48:01,2018-11-15 16:48:01,0.003s,PASSED
openBrowser,Firefox 63.0,,2018-11-15 16:48:01,2018-11-15 16:48:15,14.036s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-15 16:48:15,2018-11-15 16:48:17,2.128s,PASSED
maximizeWindow,Firefox 63.0,,2018-11-15 16:48:17,2018-11-15 16:48:17,0.036s,PASSED
click,Firefox 63.0,,2018-11-15 16:48:17,2018-11-15 16:48:18,0.676s,FAILED
,,,,,,
Test Cases/Mohit/New Test Case,Firefox 63.0,,2018-11-15 16:48:18,2018-11-15 16:48:37,19.434s,PASSED
openBrowser,Firefox 63.0,,2018-11-15 16:48:18,2018-11-15 16:48:31,13.029s,PASSED
Statement - java.lang.Thread.sleep(5000),Firefox 63.0,,2018-11-15 16:48:31,2018-11-15 16:48:36,5.000s,PASSED
closeBrowser,Firefox 63.0,,2018-11-15 16:48:36,2018-11-15 16:48:37,1.369s,PASSED
