Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_1,Firefox 63.0,,2018-12-12 12:35:40,2018-12-12 12:38:02,2m - 22.069s,ERROR
,,,,,,
Test Cases/Mohit/Drag_Drop,Firefox 63.0,,2018-12-12 12:35:43,2018-12-12 12:36:43,1m - 0.220s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 63.0,,2018-12-12 12:35:43,2018-12-12 12:35:43,0.322s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 63.0,,2018-12-12 12:35:43,2018-12-12 12:35:43,0.019s,PASSED
"imgDir = getProjectDir() + ""/Include/img/""",Firefox 63.0,,2018-12-12 12:35:44,2018-12-12 12:35:44,0.004s,PASSED
"openBrowser(""https://html5demos.com/drag/"")",Firefox 63.0,,2018-12-12 12:35:44,2018-12-12 12:36:26,42.581s,PASSED
maximizeWindow(),Firefox 63.0,,2018-12-12 12:36:26,2018-12-12 12:36:26,0.214s,PASSED
Thread.sleep(500),Firefox 63.0,,2018-12-12 12:36:26,2018-12-12 12:36:27,0.512s,PASSED
screen = new org.sikuli.script.Screen(),Firefox 63.0,,2018-12-12 12:36:27,2018-12-12 12:36:32,5.251s,PASSED
one = new org.sikuli.script.Pattern((imgDir + one.png)),Firefox 63.0,,2018-12-12 12:36:32,2018-12-12 12:36:39,6.650s,PASSED
drop = new org.sikuli.script.Pattern((imgDir + drop.png)),Firefox 63.0,,2018-12-12 12:36:39,2018-12-12 12:36:39,0.038s,PASSED
Thread.sleep(500),Firefox 63.0,,2018-12-12 12:36:39,2018-12-12 12:36:39,0.516s,PASSED
"screen.dragDrop(one, drop)",Firefox 63.0,,2018-12-12 12:36:39,2018-12-12 12:36:43,3.420s,ERROR
Start listener action : sampleAfterTestCase,Firefox 63.0,,2018-12-12 12:36:43,2018-12-12 12:36:43,0.004s,PASSED
Start listener action : sampleAfterTestCase,Firefox 63.0,,2018-12-12 12:36:43,2018-12-12 12:36:43,0.003s,PASSED
,,,,,,
Test Cases/Mohit/DemoSite/phpTravels,Firefox 63.0,,2018-12-12 12:36:43,2018-12-12 12:37:59,1m - 16.189s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 63.0,,2018-12-12 12:36:43,2018-12-12 12:36:43,0.007s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 63.0,,2018-12-12 12:36:43,2018-12-12 12:36:43,0.005s,PASSED
"openBrowser(""https://www.phptravels.net/"")",Firefox 63.0,,2018-12-12 12:36:44,2018-12-12 12:37:21,37.782s,PASSED
maximizeWindow(),Firefox 63.0,,2018-12-12 12:37:21,2018-12-12 12:37:22,0.321s,PASSED
driver = getWebDriver(),Firefox 63.0,,2018-12-12 12:37:22,2018-12-12 12:37:22,0.030s,PASSED
"for ([i = 0, i < 1000, (i++)])",Firefox 63.0,,2018-12-12 12:37:22,2018-12-12 12:37:23,1.589s,PASSED
"elements = driver.findElements(By.className(""text-center""))",Firefox 63.0,,2018-12-12 12:37:23,2018-12-12 12:37:23,0.053s,PASSED
for (org.openqa.selenium.WebElement webElement : elements),Firefox 63.0,,2018-12-12 12:37:23,2018-12-12 12:37:24,0.856s,PASSED
"for ([i = 0, i < 1000, (i++)])",Firefox 63.0,,2018-12-12 12:37:24,2018-12-12 12:37:25,1.182s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),Firefox 63.0,,2018-12-12 12:37:25,2018-12-12 12:37:25,0.013s,PASSED
"elements = driver.findElements(By.className(""select2-chosen""))",Firefox 63.0,,2018-12-12 12:37:25,2018-12-12 12:37:25,0.042s,PASSED
for (org.openqa.selenium.WebElement webElement : elements),Firefox 63.0,,2018-12-12 12:37:25,2018-12-12 12:37:35,9.113s,PASSED
"name(""departure"")).click()",Firefox 63.0,,2018-12-12 12:37:35,2018-12-12 12:37:35,0.321s,PASSED
Thread.sleep(1000),Firefox 63.0,,2018-12-12 12:37:35,2018-12-12 12:37:36,1.002s,PASSED
"name(""departure"")).sendKeys(""2019-12-30"")",Firefox 63.0,,2018-12-12 12:37:36,2018-12-12 12:37:36,0.080s,PASSED
"elements = driver.findElements(By.className(""pfb0""))",Firefox 63.0,,2018-12-12 12:37:36,2018-12-12 12:37:36,0.023s,PASSED
for (org.openqa.selenium.WebElement webElement : elements),Firefox 63.0,,2018-12-12 12:37:36,2018-12-12 12:37:42,5.600s,PASSED
"for ([i = 0, i < 1000, (i++)])",Firefox 63.0,,2018-12-12 12:37:42,2018-12-12 12:37:48,6.808s,PASSED
get(0).click(),Firefox 63.0,,2018-12-12 12:37:48,2018-12-12 12:37:50,1.503s,PASSED
"for ([i = 0, i < 1000, (i++)])",Firefox 63.0,,2018-12-12 12:37:50,2018-12-12 12:37:50,0.585s,PASSED
"name(""firstname"")).sendKeys(""Firstname"")",Firefox 63.0,,2018-12-12 12:37:50,2018-12-12 12:37:50,0.060s,PASSED
