Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nikita,Chrome 70.0.3538.110,,2018-12-11 16:56:27,2018-12-11 16:56:47,19.805s,PASSED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_Read_testdata,Chrome 70.0.3538.110,,2018-12-11 16:56:28,2018-12-11 16:56:40,12.328s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/"")",Chrome 70.0.3538.110,,2018-12-11 16:56:28,2018-12-11 16:56:36,7.879s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 70.0.3538.110,,2018-12-11 16:56:36,2018-12-11 16:56:37,0.248s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 70.0.3538.110,,2018-12-11 16:56:37,2018-12-11 16:56:37,0.271s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 70.0.3538.110,,2018-12-11 16:56:37,2018-12-11 16:56:37,0.199s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 70.0.3538.110,,2018-12-11 16:56:37,2018-12-11 16:56:39,2.283s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2018-12-11 16:56:39,2018-12-11 16:56:40,0.672s,PASSED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_Read_testdata,Chrome 70.0.3538.110,,2018-12-11 16:56:40,2018-12-11 16:56:47,6.918s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/"")",Chrome 70.0.3538.110,,2018-12-11 16:56:40,2018-12-11 16:56:45,5.191s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 70.0.3538.110,,2018-12-11 16:56:45,2018-12-11 16:56:45,0.115s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 70.0.3538.110,,2018-12-11 16:56:45,2018-12-11 16:56:46,0.138s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 70.0.3538.110,,2018-12-11 16:56:46,2018-12-11 16:56:46,0.131s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 70.0.3538.110,,2018-12-11 16:56:46,2018-12-11 16:56:46,0.672s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2018-12-11 16:56:46,2018-12-11 16:56:47,0.651s,PASSED
