Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
jenkins,Chrome 70.0.3538.110,,2018-12-10 11:15:53,2018-12-10 11:17:08,1m - 14.939s,PASSED
,,,,,,
Test Cases/Rajiv/JavaScript,Chrome 70.0.3538.110,This is the sample JavaScript Project.,2018-12-10 11:15:55,2018-12-10 11:17:08,1m - 12.773s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-10 11:15:58,2018-12-10 11:16:21,22.714s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-10 11:16:21,2018-12-10 11:16:22,1.239s,PASSED
"executeJavaScript(""window.location='https://www.freecrm.com'"", null)",Chrome 70.0.3538.110,,2018-12-10 11:16:22,2018-12-10 11:16:35,12.538s,PASSED
"wb1 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMUsername""), 5)",Chrome 70.0.3538.110,,2018-12-10 11:16:35,2018-12-10 11:16:36,1.051s,PASSED
"wb2 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMPassword""), 5)",Chrome 70.0.3538.110,,2018-12-10 11:16:36,2018-12-10 11:16:36,0.121s,PASSED
"wb3 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLoginBtn""), 5)",Chrome 70.0.3538.110,,2018-12-10 11:16:36,2018-12-10 11:16:36,0.117s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-10 11:16:36,2018-12-10 11:16:38,2.036s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable, wb1)",Chrome 70.0.3538.110,,2018-12-10 11:16:38,2018-12-10 11:16:40,2.319s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable_0, wb2)",Chrome 70.0.3538.110,,2018-12-10 11:16:40,2018-12-10 11:16:42,2.059s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb3),Chrome 70.0.3538.110,,2018-12-10 11:16:42,2018-12-10 11:16:51,8.402s,PASSED
"javaScript.JavaScriptExecutor.alertGenerator(""This Alert is generated by JavaScript !! "")",Chrome 70.0.3538.110,,2018-12-10 11:16:51,2018-12-10 11:16:54,3.206s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-10 11:16:54,2018-12-10 11:16:56,2.003s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-10 11:16:56,2018-12-10 11:16:56,0.212s,PASSED
delay(3),Chrome 70.0.3538.110,,2018-12-10 11:16:56,2018-12-10 11:16:59,3.010s,PASSED
"switchToFrame(findTestObject(""Object Repository/JavaScript/iFrame""), 5)",Chrome 70.0.3538.110,,2018-12-10 11:16:59,2018-12-10 11:16:59,0.183s,PASSED
"wb4 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLogout""), 5)",Chrome 70.0.3538.110,,2018-12-10 11:16:59,2018-12-10 11:16:59,0.114s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb4),Chrome 70.0.3538.110,,2018-12-10 11:16:59,2018-12-10 11:17:04,4.162s,PASSED
delay(3),Chrome 70.0.3538.110,,2018-12-10 11:17:04,2018-12-10 11:17:07,3.002s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2018-12-10 11:17:07,2018-12-10 11:17:08,1.257s,PASSED
