Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EndtoEndDemo,Chrome 71.0.3578.98,,2018-12-13 16:50:48,2018-12-13 16:54:33,3m - 45.026s,PASSED
,,,,,,
Test Cases/Nirmal/TC5 - End To End Scenario,Chrome 71.0.3578.98,,2018-12-13 16:50:52,2018-12-13 16:54:31,3m - 39.095s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:50:53,2018-12-13 16:50:53,0.050s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:50:53,2018-12-13 16:50:53,0.008s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-13 16:50:56,2018-12-13 16:51:44,47.935s,PASSED
"navigateToUrl(""http://demowebshop.tricentis.com/"")",Chrome 71.0.3578.98,,2018-12-13 16:51:44,2018-12-13 16:51:59,14.976s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-13 16:51:59,2018-12-13 16:52:08,8.955s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-13 16:52:08,2018-12-13 16:52:13,5.125s,PASSED
"click(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop/a_Register""))",Chrome 71.0.3578.98,,2018-12-13 16:52:13,2018-12-13 16:52:16,2.189s,PASSED
"click(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Gender_Gender""))",Chrome 71.0.3578.98,,2018-12-13 16:52:16,2018-12-13 16:52:16,0.306s,PASSED
"sendKeys(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_First name_FirstName""), First_name)",Chrome 71.0.3578.98,,2018-12-13 16:52:16,2018-12-13 16:52:16,0.426s,PASSED
"sendKeys(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Last name_LastName""), Last_name)",Chrome 71.0.3578.98,,2018-12-13 16:52:16,2018-12-13 16:52:17,0.369s,PASSED
