Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EndtoEndSceanrio,Chrome 70.0.3538.102,,2018-11-20 11:02:01,2018-11-20 11:02:37,35.635s,FAILED
,,,,,,
Test Cases/Nirmal/TC5 - End To End Scenario,Chrome 70.0.3538.102,,2018-11-20 11:02:01,2018-11-20 11:02:36,34.693s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:02:02,2018-11-20 11:02:06,3.750s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:02:06,2018-11-20 11:02:08,2.681s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-20 11:02:08,2018-11-20 11:02:10,1.141s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:02:10,2018-11-20 11:02:15,5.007s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:02:15,2018-11-20 11:02:15,0.683s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:02:15,2018-11-20 11:02:15,0.078s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:02:15,2018-11-20 11:02:16,0.205s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:02:16,2018-11-20 11:02:16,0.168s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:02:16,2018-11-20 11:02:16,0.187s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:02:16,2018-11-20 11:02:16,0.148s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:02:16,2018-11-20 11:02:16,0.130s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:02:16,2018-11-20 11:02:17,0.703s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:02:17,2018-11-20 11:02:36,19.216s,FAILED
