Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
custom keyword,Chrome 71.0.3578.98,,2018-12-18 11:56:23,2018-12-18 11:57:51,1m - 28.003s,PASSED
,,,,,,
Test Cases/Rajiv/JavaScript,Chrome 71.0.3578.98,This is the sample JavaScript Project.,2018-12-18 11:56:28,2018-12-18 11:57:51,1m - 22.335s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-18 11:56:30,2018-12-18 11:56:30,0.033s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-18 11:56:30,2018-12-18 11:56:30,0.006s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-18 11:56:33,2018-12-18 11:57:14,41.495s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-18 11:57:14,2018-12-18 11:57:16,1.155s,PASSED
"executeJavaScript(""window.location='https://www.freecrm.com'"", null)",Chrome 71.0.3578.98,,2018-12-18 11:57:16,2018-12-18 11:57:21,5.843s,PASSED
"wb1 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMUsername""), 5)",Chrome 71.0.3578.98,,2018-12-18 11:57:21,2018-12-18 11:57:22,0.424s,PASSED
"wb2 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMPassword""), 5)",Chrome 71.0.3578.98,,2018-12-18 11:57:22,2018-12-18 11:57:22,0.490s,PASSED
"wb3 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLoginBtn""), 5)",Chrome 71.0.3578.98,,2018-12-18 11:57:22,2018-12-18 11:57:23,0.247s,PASSED
delay(2),Chrome 71.0.3578.98,,2018-12-18 11:57:23,2018-12-18 11:57:25,2.092s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable, wb1)",Chrome 71.0.3578.98,,2018-12-18 11:57:25,2018-12-18 11:57:27,2.313s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable_0, wb2)",Chrome 71.0.3578.98,,2018-12-18 11:57:27,2018-12-18 11:57:29,2.326s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb3),Chrome 71.0.3578.98,,2018-12-18 11:57:29,2018-12-18 11:57:35,5.780s,PASSED
"javaScript.JavaScriptExecutor.alertGenerator(""This Alert is generated by JavaScript !! "")",Chrome 71.0.3578.98,,2018-12-18 11:57:35,2018-12-18 11:57:38,3.054s,PASSED
delay(2),Chrome 71.0.3578.98,,2018-12-18 11:57:38,2018-12-18 11:57:40,2.003s,PASSED
acceptAlert(),Chrome 71.0.3578.98,,2018-12-18 11:57:40,2018-12-18 11:57:40,0.046s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-18 11:57:40,2018-12-18 11:57:43,3.001s,PASSED
"switchToFrame(findTestObject(""Object Repository/JavaScript/iFrame""), 5)",Chrome 71.0.3578.98,,2018-12-18 11:57:43,2018-12-18 11:57:43,0.201s,PASSED
"wb4 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLogout""), 5)",Chrome 71.0.3578.98,,2018-12-18 11:57:43,2018-12-18 11:57:43,0.036s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb4),Chrome 71.0.3578.98,,2018-12-18 11:57:43,2018-12-18 11:57:47,3.201s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-18 11:57:47,2018-12-18 11:57:50,3.002s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-18 11:57:50,2018-12-18 11:57:50,0.909s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-18 11:57:50,2018-12-18 11:57:51,0.013s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-18 11:57:51,2018-12-18 11:57:51,0.018s,PASSED
