Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_2,Chrome 71.0.3578.80,TestSuite for Iframe and Popup,2018-12-12 15:39:00,2018-12-12 15:40:04,1m - 3.520s,PASSED
,,,,,,
Test Cases/Shrutika/IFrame Test Case,Chrome 71.0.3578.80,IFrame Test Case,2018-12-12 15:39:01,2018-12-12 15:39:26,24.909s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:01,2018-12-12 15:39:01,0.024s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:01,2018-12-12 15:39:01,0.010s,PASSED
"openBrowser(""http://toolsqa.com/iframe-practice-page/"")",Chrome 71.0.3578.80,,2018-12-12 15:39:02,2018-12-12 15:39:12,10.612s,PASSED
maximizeWindow(),Chrome 71.0.3578.80,,2018-12-12 15:39:12,2018-12-12 15:39:13,1.155s,PASSED
"scrollToElement(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/iframe_1""), 1)",Chrome 71.0.3578.80,,2018-12-12 15:39:13,2018-12-12 15:39:13,0.144s,PASSED
"switchToFrame(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/iframe_1""), 2)",Chrome 71.0.3578.80,,2018-12-12 15:39:13,2018-12-12 15:39:14,0.461s,PASSED
"if (!(verifyElementPresent(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/input_First name_firstname""), 1)))",Chrome 71.0.3578.80,,2018-12-12 15:39:14,2018-12-12 15:39:14,0.060s,PASSED
"scrollToElement(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/input_First name_firstname""), 1)",Chrome 71.0.3578.80,,2018-12-12 15:39:14,2018-12-12 15:39:14,0.039s,PASSED
"setText(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/input_First name_firstname""), ""Shrutika"")",Chrome 71.0.3578.80,,2018-12-12 15:39:14,2018-12-12 15:39:14,0.365s,PASSED
"scrollToElement(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/input_Last name_lastname""), 1)",Chrome 71.0.3578.80,,2018-12-12 15:39:14,2018-12-12 15:39:14,0.043s,PASSED
"setText(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/input_Last name_lastname""), ""Gupta"")",Chrome 71.0.3578.80,,2018-12-12 15:39:14,2018-12-12 15:39:15,0.140s,PASSED
"takeScreenshot(""D://Shrutika Stuff//KetalonDemo//"" + getClass() + "".png"")",Chrome 71.0.3578.80,,2018-12-12 15:39:15,2018-12-12 15:39:15,0.360s,PASSED
delay(5),Chrome 71.0.3578.80,,2018-12-12 15:39:15,2018-12-12 15:39:20,5.034s,PASSED
switchToDefaultContent(),Chrome 71.0.3578.80,,2018-12-12 15:39:20,2018-12-12 15:39:20,0.075s,PASSED
delay(5),Chrome 71.0.3578.80,,2018-12-12 15:39:20,2018-12-12 15:39:25,5.003s,PASSED
"switchToFrame(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/iframe_2""), 1)",Chrome 71.0.3578.80,,2018-12-12 15:39:25,2018-12-12 15:39:25,0.069s,PASSED
"println(getText(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/h2_Hello world"")))",Chrome 71.0.3578.80,,2018-12-12 15:39:25,2018-12-12 15:39:25,0.088s,PASSED
closeBrowser(),Chrome 71.0.3578.80,,2018-12-12 15:39:25,2018-12-12 15:39:26,0.763s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:26,2018-12-12 15:39:26,0.016s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:26,2018-12-12 15:39:26,0.018s,PASSED
,,,,,,
Test Cases/Shrutika/PopUp/AlertPopUp Test Case,Chrome 71.0.3578.80,Alert Pop Up Handling Test Case,2018-12-12 15:39:26,2018-12-12 15:39:53,27.129s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:26,2018-12-12 15:39:26,0.005s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:26,2018-12-12 15:39:26,0.016s,PASSED
"openBrowser(""http://toolsqa.com/handling-alerts-using-selenium-webdriver/"")",Chrome 71.0.3578.80,,2018-12-12 15:39:26,2018-12-12 15:39:35,8.542s,PASSED
maximizeWindow(),Chrome 71.0.3578.80,,2018-12-12 15:39:35,2018-12-12 15:39:36,1.139s,PASSED
delay(1),Chrome 71.0.3578.80,,2018-12-12 15:39:36,2018-12-12 15:39:37,1.004s,PASSED
"scrollToElement(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/Simple Alert Pop up text""), 2)",Chrome 71.0.3578.80,,2018-12-12 15:39:37,2018-12-12 15:39:37,0.087s,PASSED
"click(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/button_Simple Alert""))",Chrome 71.0.3578.80,,2018-12-12 15:39:37,2018-12-12 15:39:38,0.604s,PASSED
delay(1),Chrome 71.0.3578.80,,2018-12-12 15:39:38,2018-12-12 15:39:39,1.001s,PASSED
if (waitForAlert(5)),Chrome 71.0.3578.80,,2018-12-12 15:39:39,2018-12-12 15:39:44,5.097s,PASSED
delay(1),Chrome 71.0.3578.80,,2018-12-12 15:39:44,2018-12-12 15:39:45,1.010s,PASSED
switchToDefaultContent(),Chrome 71.0.3578.80,,2018-12-12 15:39:45,2018-12-12 15:39:45,0.023s,PASSED
"click(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/button_Confirm Pop up""))",Chrome 71.0.3578.80,,2018-12-12 15:39:45,2018-12-12 15:39:45,0.119s,PASSED
delay(1),Chrome 71.0.3578.80,,2018-12-12 15:39:45,2018-12-12 15:39:46,1.002s,PASSED
if (waitForAlert(2)),Chrome 71.0.3578.80,,2018-12-12 15:39:46,2018-12-12 15:39:46,0.063s,PASSED
delay(2),Chrome 71.0.3578.80,,2018-12-12 15:39:46,2018-12-12 15:39:48,2.001s,PASSED
switchToDefaultContent(),Chrome 71.0.3578.80,,2018-12-12 15:39:48,2018-12-12 15:39:48,0.018s,PASSED
"click(findTestObject(""Shrutika/Page_TOOLSQA  Free QA Automation To/button_Prompt Pop up""))",Chrome 71.0.3578.80,,2018-12-12 15:39:48,2018-12-12 15:39:48,0.114s,PASSED
delay(2),Chrome 71.0.3578.80,,2018-12-12 15:39:48,2018-12-12 15:39:50,2.004s,PASSED
if (waitForAlert(5)),Chrome 71.0.3578.80,,2018-12-12 15:39:50,2018-12-12 15:39:52,2.091s,PASSED
switchToDefaultContent(),Chrome 71.0.3578.80,,2018-12-12 15:39:52,2018-12-12 15:39:52,0.077s,PASSED
closeBrowser(),Chrome 71.0.3578.80,,2018-12-12 15:39:52,2018-12-12 15:39:53,0.743s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:53,2018-12-12 15:39:53,0.012s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:53,2018-12-12 15:39:53,0.008s,PASSED
,,,,,,
Test Cases/Shrutika/PopUp/AlertWindowPopUp Test Case,Chrome 71.0.3578.80,AlertWindowPopUp Test Case,2018-12-12 15:39:53,2018-12-12 15:40:04,10.671s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:53,2018-12-12 15:39:53,0.005s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.80,,2018-12-12 15:39:53,2018-12-12 15:39:53,0.004s,PASSED
"openBrowser(""https://www.elated.com/articles/javascript-tabs/"")",Chrome 71.0.3578.80,,2018-12-12 15:39:53,2018-12-12 15:40:00,6.568s,PASSED
maximizeWindow(),Chrome 71.0.3578.80,,2018-12-12 15:40:00,2018-12-12 15:40:01,1.156s,PASSED
"switchToFrame(findTestObject(""Object Repository/Shrutika/Page_JavaScript Tabs - Create Tabbe/iframe_The Document Object Mod""), 2)",Chrome 71.0.3578.80,,2018-12-12 15:40:01,2018-12-12 15:40:01,0.071s,PASSED
"click(findTestObject(""Object Repository/Shrutika/Page_JavaScript Tabs - Create Tabbe/div_id(katalon-spy_elementInfo""))",Chrome 71.0.3578.80,,2018-12-12 15:40:01,2018-12-12 15:40:01,0.249s,PASSED
"switchToWindowTitle(""Share a link on Twitter"")",Chrome 71.0.3578.80,,2018-12-12 15:40:01,2018-12-12 15:40:03,1.166s,PASSED
"setText(findTestObject(""Object Repository/Shrutika/Page_Share a link on Twitter/input_Phone email or username_""), ""Abc"")",Chrome 71.0.3578.80,,2018-12-12 15:40:03,2018-12-12 15:40:03,0.185s,PASSED
"setText(findTestObject(""Object Repository/Shrutika/Page_Share a link on Twitter/input_Password_sessionpassword""), ""Password"")",Chrome 71.0.3578.80,,2018-12-12 15:40:03,2018-12-12 15:40:03,0.194s,PASSED
"verifyTextPresent(""Share a link with your followers"", false)",Chrome 71.0.3578.80,,2018-12-12 15:40:03,2018-12-12 15:40:03,0.082s,PASSED
closeBrowser(),Chrome 71.0.3578.80,,2018-12-12 15:40:03,2018-12-12 15:40:04,0.727s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.80,,2018-12-12 15:40:04,2018-12-12 15:40:04,0.011s,PASSED
