Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
finalDemoSuite,Chrome 70.0.3538.110,,2018-12-17 11:18:40,2018-12-17 11:19:18,38.204s,PASSED
,,,,,,
Test Cases/Thalesh/AutomationDemoSite,Chrome 70.0.3538.110,,2018-12-17 11:18:41,2018-12-17 11:19:05,24.453s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.110,,2018-12-17 11:18:41,2018-12-17 11:18:41,0.031s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.110,,2018-12-17 11:18:41,2018-12-17 11:18:41,0.015s,PASSED
openBrowser(null),Chrome 70.0.3538.110,,2018-12-17 11:18:42,2018-12-17 11:18:47,5.507s,PASSED
"navigateToUrl(""http://demo.automationtesting.in/Register.html"")",Chrome 70.0.3538.110,,2018-12-17 11:18:47,2018-12-17 11:18:52,4.594s,PASSED
"setText(findTestObject(""DemoAuto/input_FirstName""), ""thalesh"")",Chrome 70.0.3538.110,,2018-12-17 11:18:52,2018-12-17 11:18:52,0.479s,PASSED
"setText(findTestObject(""DemoAuto/input_LastName""), ""sharma"")",Chrome 70.0.3538.110,,2018-12-17 11:18:52,2018-12-17 11:18:52,0.184s,PASSED
"setText(findTestObject(""DemoAuto/textarea_Address""), ""test text area"")",Chrome 70.0.3538.110,,2018-12-17 11:18:52,2018-12-17 11:18:53,0.282s,PASSED
"setText(findTestObject(""DemoAuto/input_EmailAddress""), ""thalesh.s@gmail.com"")",Chrome 70.0.3538.110,,2018-12-17 11:18:53,2018-12-17 11:18:53,0.289s,PASSED
"setText(findTestObject(""Object Repository/DemoAuto/input_Phone""), ""1234567890"")",Chrome 70.0.3538.110,,2018-12-17 11:18:53,2018-12-17 11:18:53,0.229s,PASSED
"click(findTestObject(""DemoAuto/input_GenderRadioOptions""))",Chrome 70.0.3538.110,,2018-12-17 11:18:53,2018-12-17 11:18:53,0.121s,PASSED
"click(findTestObject(""DemoAuto/input_HobbiesCheckbox""))",Chrome 70.0.3538.110,,2018-12-17 11:18:53,2018-12-17 11:18:53,0.100s,PASSED
"scrollToElement(findTestObject(""DemoAuto/select_Skills""), 5)",Chrome 70.0.3538.110,,2018-12-17 11:18:53,2018-12-17 11:18:53,0.075s,PASSED
"click(findTestObject(""DemoAuto/select_Skills""))",Chrome 70.0.3538.110,,2018-12-17 11:18:53,2018-12-17 11:18:54,0.243s,PASSED
"selectOptionByValue(findTestObject(""DemoAuto/select_Skills""), ""Java"", true)",Chrome 70.0.3538.110,,2018-12-17 11:18:54,2018-12-17 11:18:55,1.232s,PASSED
"click(findTestObject(""DemoAuto/select_Country""))",Chrome 70.0.3538.110,,2018-12-17 11:18:55,2018-12-17 11:18:55,0.314s,PASSED
