Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite1,Firefox 63.0,,2018-12-12 12:35:42,2018-12-12 12:38:23,2m - 41.630s,PASSED
,,,,,,
Test Cases/Thalesh/AutomationDemoSite,Firefox 63.0,,2018-12-12 12:35:45,2018-12-12 12:36:57,1m - 12.019s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 63.0,,2018-12-12 12:35:46,2018-12-12 12:35:46,0.021s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 63.0,,2018-12-12 12:35:46,2018-12-12 12:35:46,0.004s,PASSED
openBrowser(null),Firefox 63.0,,2018-12-12 12:35:46,2018-12-12 12:36:21,35.015s,PASSED
"navigateToUrl(""http://demo.automationtesting.in/Register.html"")",Firefox 63.0,,2018-12-12 12:36:21,2018-12-12 12:36:33,11.822s,PASSED
"setText(findTestObject(""DemoAuto/input_FirstName""), ""thalesh"")",Firefox 63.0,,2018-12-12 12:36:33,2018-12-12 12:36:33,0.379s,PASSED
"setText(findTestObject(""DemoAuto/input_LastName""), ""sharma"")",Firefox 63.0,,2018-12-12 12:36:33,2018-12-12 12:36:34,0.309s,PASSED
"setText(findTestObject(""DemoAuto/textarea_Address""), ""test text area"")",Firefox 63.0,,2018-12-12 12:36:34,2018-12-12 12:36:34,0.125s,PASSED
"setText(findTestObject(""DemoAuto/input_EmailAddress""), ""thalesh.s@gmail.com"")",Firefox 63.0,,2018-12-12 12:36:34,2018-12-12 12:36:34,0.478s,PASSED
"setText(findTestObject(""Object Repository/DemoAuto/input_Phone""), ""1234567890"")",Firefox 63.0,,2018-12-12 12:36:34,2018-12-12 12:36:35,0.299s,PASSED
"click(findTestObject(""DemoAuto/input_GenderRadioOptions""))",Firefox 63.0,,2018-12-12 12:36:35,2018-12-12 12:36:35,0.337s,PASSED
"click(findTestObject(""DemoAuto/input_HobbiesCheckbox""))",Firefox 63.0,,2018-12-12 12:36:35,2018-12-12 12:36:35,0.251s,PASSED
"scrollToElement(findTestObject(""DemoAuto/select_Skills""), 5)",Firefox 63.0,,2018-12-12 12:36:35,2018-12-12 12:36:35,0.044s,PASSED
